date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:54:29	85530/85530	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2012:54:58%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/layouts-default.html	(from )
21:54:30	51/51	---MCZ	200	added ('OK')	text/plain	date:Fri,%2020%20Jan%202023%2013:37:45%20GMT	https://www.okler.net/robots.txt		(from )
21:54:30	281046/281046	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202024%2012:56:55%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/bootstrap/css/bootstrap.css	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/bootstrap/css/bootstrap.css	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:30	70607/70607	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202024%2012:55:51%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/animate/animate.compat.css	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/animate/animate.compat.css	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:30	73890/73890	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202024%2012:57:35%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/font-awesome/css/all.min.css	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/font-awesome/css/all.min.css	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:31	68028/68028	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202024%2012:57:21%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/boxicons/css/boxicons.min.css	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/boxicons/css/boxicons.min.css	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:31	6852/6852	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202024%2012:56:27%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/magnific-popup/magnific-popup.css	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/magnific-popup/magnific-popup.css	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:31	22837/22837	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202024%2012:57:03%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/bootstrap-datepicker/css/bootstrap-datepicker3.css	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/bootstrap-datepicker/css/bootstrap-datepicker3.css	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:31	37468/37468	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202024%2012:56:17%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/jquery-ui/jquery-ui.css	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/jquery-ui/jquery-ui.css	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:31	18802/18802	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202024%2012:56:18%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/jquery-ui/jquery-ui.theme.css	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/jquery-ui/jquery-ui.theme.css	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:32	3391/3391	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202024%2012:57:17%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/bootstrap-multiselect/css/bootstrap-multiselect.css	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/bootstrap-multiselect/css/bootstrap-multiselect.css	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:32	433/433	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202024%2012:56:30%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/morris/morris.css	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/morris/morris.css	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:32	421422/421422	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202024%2012:55:04%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/css/theme.css	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/css/theme.css	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:32	43/43	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202024%2012:55:03%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/css/custom.css	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/css/custom.css	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:33	18554/18554	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2019%20Dec%202024%2012:56:29%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/modernizr/modernizr.js	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/modernizr/modernizr.js	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:33	2300/2300	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2019%20Dec%202024%2012:55:50%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/master/style-switcher/style.switcher.localstorage.js	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/master/style-switcher/style.switcher.localstorage.js	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:33	54919/54919	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Dec%202024%2012:55:11%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/img/logo.png	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/img/logo.png	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:33	13921/13921	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Dec%202024%2012:55:08%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/img/!sample-user.jpg	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/img/!sample-user.jpg	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:33	74289/74289	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Dec%202024%2012:55:09%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/img/!logged-user.jpg	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/img/!logged-user.jpg	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:34	69071/69071	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2012:54:52%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/pages-user-profile.html	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/pages-user-profile.html	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:34	5124/5124	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2012:54:52%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/pages-signin.html	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/pages-signin.html	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:35	111189/111189	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2012:55:00%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/ecommerce-dashboard.html	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/ecommerce-dashboard.html	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:35	103575/103575	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2012:54:59%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/ecommerce-products-list.html	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/ecommerce-products-list.html	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
21:54:35	100817/100817	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2012:54:59%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/ecommerce-products-form.html	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/ecommerce-products-form.html	(from https://www.okler.net/previews/porto-admin/4.3.0/layouts-default.html)
